"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","batch","trial_index","risk_c","gain_c","Intercept","Risk_Beta","Gain_Beta","Interaction_Beta","Risk_sig","Gain_sig","Interaction_sig"
"87","19x3QrYn","Language (spoken)",75,20,15,65,"No to treatment",77,337.580000050366,0.75,1,"12",-29,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"88","19x3QrYn","Language (spoken)",75,90,5,5,"Yes to treatment",77,556.175000034273,0.0555555555555556,1,"13",41,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"89","19x3QrYn","Language (spoken)",75,35,10,55,"Yes to treatment",90,674.244999885559,0.285714285714286,1,"14",-14,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"90","19x3QrYn","Language (spoken)",75,80,10,10,"Yes to treatment",77,395.804999396205,0.125,1,"15",31,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"91","19x3QrYn","Language (spoken)",75,25,30,45,"Yes to treatment",77,770.349999889731,1.2,1,"16",-24,2.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"92","19x3QrYn","Language (spoken)",75,75,5,20,"No to treatment",77,3612.22499981523,0.0666666666666667,1,"17",26,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"93","19x3QrYn","Language (spoken)",75,25,30,45,"Yes to treatment",90,712.770000100136,1.2,1,"18",-24,2.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"94","19x3QrYn","Language (spoken)",75,70,5,25,"Yes to treatment",77,577.159999869764,0.0714285714285714,1,"19",21,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"95","19x3QrYn","Language (spoken)",75,40,40,20,"Yes to treatment",77,717.679999768734,1,1,"20",-9,12.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"96","19x3QrYn","Language (spoken)",75,85,10,5,"Yes to treatment",77,869.445000775158,0.117647058823529,1,"21",36,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"97","19x3QrYn","Language (spoken)",75,30,35,35,"Yes to treatment",90,2743.87499969453,1.16666666666667,1,"22",-19,7.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"98","19x3QrYn","Language (spoken)",75,65,25,10,"Yes to treatment",77,417.100000195205,0.384615384615385,1,"23",16,-2.13333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"99","19x3QrYn","Language (spoken)",75,75,20,5,"Yes to treatment",77,1582.22999982536,0.266666666666667,1,"24",26,-7.13333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"100","19x3QrYn","Language (spoken)",75,45,35,20,"Yes to treatment",90,576.144999824464,0.777777777777778,1,"25",-4,7.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"101","19x3QrYn","Language (spoken)",75,70,5,25,"Yes to treatment",77,533.950000070035,0.0714285714285714,1,"26",21,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"102","19x3QrYn","Language (spoken)",75,85,5,10,"Yes to treatment",90,12265.000000596,0.0588235294117647,1,"27",36,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"103","19x3QrYn","Language (spoken)",75,40,35,25,"Yes to treatment",90,1203.1199997291,0.875,1,"28",-9,7.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"104","19x3QrYn","Language (spoken)",75,15,55,30,"Yes to treatment",90,1017.45499949902,3.66666666666667,1,"29",-34,27.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"105","19x3QrYn","Language (spoken)",75,30,50,20,"Yes to treatment",77,565.225000493228,1.66666666666667,1,"30",-19,22.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"106","19x3QrYn","Language (spoken)",75,15,65,20,"Yes to treatment",77,459.604999981821,4.33333333333333,1,"31",-34,37.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"107","19x3QrYn","Language (spoken)",75,35,55,10,"Yes to treatment",77,773.18499982357,1.57142857142857,1,"32",-14,27.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"108","19x3QrYn","Language (spoken)",75,90,5,5,"No to treatment",77,5359.54499989748,0.0555555555555556,1,"33",41,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"109","19x3QrYn","Language (spoken)",75,90,5,5,"Yes to treatment",77,544.145000167191,0.0555555555555556,1,"34",41,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"110","19x3QrYn","Language (spoken)",75,55,30,15,"Yes to treatment",90,1600.02000071108,0.545454545454545,1,"35",6,2.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"111","19x3QrYn","Language (spoken)",75,80,15,5,"Yes to treatment",90,1150.26499982923,0.1875,1,"36",31,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"112","19x3QrYn","Language (spoken)",75,45,15,40,"Yes to treatment",77,944.464999251068,0.333333333333333,1,"37",-4,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"113","19x3QrYn","Language (spoken)",75,5,55,40,"No to treatment",90,1865.82500021905,11,1,"38",-44,27.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"114","19x3QrYn","Language (spoken)",75,30,40,30,"Yes to treatment",77,3561.22499983758,1.33333333333333,1,"39",-19,12.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"115","19x3QrYn","Language (spoken)",75,75,15,10,"Yes to treatment",77,591.614999808371,0.2,1,"40",26,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"116","19x3QrYn","Language (spoken)",75,90,5,5,"Yes to treatment",90,619.629999622703,0.0555555555555556,1,"41",41,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"117","19x3QrYn","Language (spoken)",75,75,5,20,"Yes to treatment",77,426.954999566078,0.0666666666666667,1,"42",26,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
